id,latitude,longitude,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms_num,minimum_nights,price_eur,review_scores_rating,number_of_reviews,unavailable_rate_90d
37359998,52.49083,13.3915,Tempelhofer Vorstadt,Entire home/apt,Entire rental unit,6,2.0,1.0,7,180.0,4.89,158,0.0
37386177,52.47498,13.53386,Karlshorst,Entire home/apt,Entire townhouse,8,4.0,1.5,5,200.0,5.0,18,1.0
37412496,52.54134,13.42157,Helmholtzplatz,Entire home/apt,Entire condo,3,1.0,1.0,3,186.0,4.99,194,1.0
37442240,52.52409,13.38381,Alexanderplatz,Entire home/apt,Entire loft,3,1.0,1.0,3,99.0,4.69,153,0.0
37446212,52.52998,13.40718,Prenzlauer Berg Südwest,Entire home/apt,Entire rental unit,2,1.0,1.0,92,58.0,4.96,164,0.8461538461538461
37486460,52.4972,13.46164,Frankfurter Allee Süd FK,Entire home/apt,Entire rental unit,2,1.0,1.0,60,106.0,4.96,24,0.5934065934065934
37486999,52.52749,13.33765,Moabit West,Private room,Private room in rental unit,2,1.0,1.0,10,58.0,4.79,34,0.0
37558386,52.416691260535934,13.54765555668324,Altglienicke,Entire home/apt,Entire rental unit,2,1.0,1.0,3,65.0,4.87,166,0.0
37575055,52.4844,13.3833,Tempelhof,Private room,Private room in rental unit,2,1.0,1.0,2,71.0,5.0,10,1.0
37578254,52.50942993164063,13.452059745788574,Frankfurter Allee Süd FK,Private room,Private room in rental unit,2,1.0,1.5,1,54.0,4.65,99,1.0
37581746,52.57811,13.31768,Nord 2,Private room,Private room in rental unit,2,1.0,1.0,1,36.0,4.9,720,1.0
37582237,52.572201087932775,13.418538551168597,Pankow Zentrum,Private room,Private room in rental unit,2,1.0,1.0,95,47.0,4.0,1,0.0
37613974,52.6425,13.51446,Buch,Private room,Private room in condo,1,1.0,1.0,1,59.0,4.2,5,0.0
37616627,52.54218,13.41181,Prenzlauer Berg Nordwest,Entire home/apt,Entire guesthouse,2,1.0,1.0,1,76.0,4.34,231,0.0
37677808,52.4685,13.57759,Köpenick-Nord,Entire home/apt,Entire rental unit,3,1.0,1.0,3,115.0,4.83,98,0.0
37682703,52.49221,13.45014,Alt  Treptow,Entire home/apt,Entire rental unit,2,1.0,1.0,92,65.0,4.82,17,0.0
37696328,52.55187,13.44292,Weißensee,Entire home/apt,Entire rental unit,5,2.0,1.0,92,101.0,4.52,25,0.0
37699406,52.54544,13.41639,Helmholtzplatz,Entire home/apt,Entire rental unit,4,1.0,1.0,5,103.0,4.89,27,0.0
37703913,52.48739,13.36309,Schöneberg-Süd,Entire home/apt,Entire rental unit,2,0.0,1.0,5,109.0,4.84,153,1.0
